"Year","オオシラビソ","ブナ","スギ"
2000,100,100,100
2004,96.2689706817637,108.229332951631,100.438612830979
2007,84.6070482215356,114.654732039233,101.190814268328
2010,84.4574685369973,124.448938668659,101.030698470322
2013,84.6800862160475,130.519258445704,99.8464080808722
2018,78.8806911082192,148.755421449386,99.6779365701788
2024,52.6147398077175,159.804338958509,104.030365737138
