"","tmin","tmax","tmean"
"1979-07",13.4,20.2,15.2
"1979-08",15.4,22,17
"1979-09",12,17.8,12.9
"1979-10",6.9,12.9,8.1
"1979-11",1.8,7.4,2.7
"1979-12",-3.6,2.1,-2.5
"1980-01",-8.3,-2.7,-7.1
"1980-02",-10.4,-5.1,-9.5
"1980-03",-6.8,1.2,-3.3
"1980-04",-0.5,8.7,4
"1980-05",5.6,16.9,12
"1980-06",11.9,19.6,14.6
"1980-07",13.9,19.6,14.6
"1980-08",15.3,19.9,14.9
"1980-09",10.9,17,12.1
"1980-10",5.5,11.2,6.4
"1980-11",0.4,6.6,1.9
"1980-12",-6.4,-2,-6.5
"1981-01",-11.1,-6.6,-11
"1981-02",-11,-3.6,-8
"1981-03",-5.9,1.6,-2.9
"1981-04",-1,8.4,3.7
"1981-05",3.9,13.5,8.7
"1981-06",9.9,18.1,13.2
"1981-07",14.7,22.1,17.1
"1981-08",14.2,21.7,16.7
"1981-09",9.7,16.1,11.2
"1981-10",3.5,10.5,5.8
"1981-11",-2.7,3.1,-1.5
"1981-12",-6.2,-0.1,-4.6
"1982-01",-3.9,-1.4,-5.9
"1982-02",-9.9,-3.3,-7.7
"1982-03",-5.1,2.9,-1.7
"1982-04",-1,8.6,3.9
"1982-05",6.3,17.2,12.3
"1982-06",8.9,17.6,12.7
"1982-07",12.5,19.7,14.7
"1982-08",15.6,21.1,16.1
"1982-09",10.1,16,11.1
"1982-10",4.3,11.7,6.9
"1982-11",1.8,6.9,2.2
"1982-12",-4,0.9,-3.6
"1983-01",-8.3,-2.1,-6.6
"1983-02",-8.9,-3.9,-8.3
"1983-03",-5.4,1.1,-3.4
"1983-04",2.4,11.2,6.4
"1983-05",5.5,16.7,11.8
"1983-06",8.8,17.4,12.5
"1983-07",13.5,19.6,14.6
"1983-08",15.8,22.2,17.2
"1983-09",12,17.4,12.5
"1983-10",3.9,10.8,6
"1983-11",-0.9,3.8,-0.8
"1983-12",-7.3,-1.9,-6.4
"1984-01",-10.3,-5.5,-9.9
"1984-02",-11.8,-5.9,-10.3
"1984-03",-8.7,-2.9,-7.3
"1984-04",-0.1,6.9,2.2
"1984-05",4.8,14.8,10
"1984-06",10.8,19.6,14.6
"1984-07",14.3,21.7,16.7
"1984-08",15.5,24,18.9
"1984-09",10.3,16.3,11.4
"1984-10",4.5,10.7,5.9
"1984-11",-0.2,6.1,1.5
"1984-12",-4.8,-0.1,-4.6
"1985-01",-11,-4.3,-8.7
"1985-02",-8.1,-1.1,-5.6
"1985-03",-4,2.8,-1.8
"1985-04",1.2,10.5,5.8
"1985-05",7.2,16.6,11.7
"1985-06",10.4,17.8,12.9
"1985-07",14.4,21.8,16.8
"1985-08",16.5,25.4,20.3
"1985-09",12.6,17.7,12.8
"1985-10",5.4,11.9,7.1
"1985-11",1,5.4,0.8
"1985-12",-5.4,-0.2,-4.7
"1986-01",-9.7,-4,-8.4
"1986-02",-11.5,-4.4,-8.8
"1986-03",-6.4,1.4,-3.1
"1986-04",-0.1,8.8,4.1
"1986-05",5.6,14.6,9.8
"1986-06",10.9,19,14.1
"1986-07",13.9,20.3,15.3
"1986-08",15.7,22.9,17.9
"1986-09",11.4,18.1,13.2
"1986-10",4,10.1,5.4
"1986-11",-0.7,5.4,0.8
"1986-12",-4.1,2,-2.6
"1987-01",-8.7,-1.6,-6.1
"1987-02",-8.2,-1.5,-6
"1987-03",-5.4,2.1,-2.5
"1987-04",-0.1,10,5.3
"1987-05",5.6,15.6,10.7
"1987-06",10.6,19.8,14.8
"1987-07",15.5,21.8,16.8
"1987-08",16,22.2,17.2
"1987-09",12.2,18.4,13.5
"1987-10",6.8,13.8,9
"1987-11",0.9,7,2.3
"1987-12",-4,1.7,-2.8
"1988-01",-6.5,-0.5,-5
"1988-02",-10.5,-4,-8.4
"1988-03",-5.5,1,-3.5
"1988-04",-0.5,8.1,3.4
"1988-05",4.3,14.2,9.4
"1988-06",11,19,14.1
"1988-07",14.2,20,15
"1988-08",17,22.7,17.7
"1988-09",13.2,17.6,12.7
