"Year","Temperate","Ecotone","Subarctic"
2000,1,1,1
2004,1.00822749803801,0.99105557123692,0.965010098477942
2007,1.0195602980064,0.985575900998891,0.870944470497058
2010,1.02278185968435,0.977490591344045,0.887974969696849
2013,1.01808439228464,0.983449209376645,0.902240532936007
2018,1.0251395071226,0.973715798412584,0.886073361566115
2024,1.07420250642934,0.923743735903492,0.654846394779249
