"","year","min","max","mean"
"1",1965,1.01666666666667,8.85,4.13333333333333
"2",1966,1.3,8.825,4.11666666666667
"3",1967,1.85,8.925,4.225
"4",1968,1.8,8.96666666666667,4.25833333333333
"5",1969,1.73333333333333,9.225,4.49166666666667
"6",1970,1.725,8.85833333333333,4.14166666666667
"7",1971,1.94166666666667,8.74166666666667,4.04166666666667
"8",1972,2.75833333333333,10.3166666666667,5.575
"9",1973,1.94166666666667,9.3,4.56666666666667
"10",1974,1.85833333333333,8.49166666666667,3.79166666666667
"11",1975,2.29166666666667,9.25,4.54166666666667
"12",1976,1.5,9.11666666666667,4.4
"13",1977,2.99166666666667,9.775,5.05
"14",1978,2.38333333333333,10.2666666666667,5.525
"15",1979,3.4,10.4083333333333,5.65833333333333
"16",1980,2.59166666666667,9.24166666666667,4.50833333333333
"17",1981,1.5,8.73333333333333,4.03333333333333
"18",1982,2.96666666666667,9.825,5.08333333333333
"19",1983,2.59166666666667,9.35833333333333,4.625
"20",1984,2.025,8.80833333333333,4.09166666666667
"21",1985,3.35,10.3583333333333,5.61666666666667
"22",1986,2.41666666666667,9.51666666666667,4.80833333333333
"23",1987,3.43333333333333,10.775,6.01666666666667
"24",1988,2.725,9.275,4.56666666666667
"25",1989,3.3,10.4416666666667,5.7
"26",1990,3.925,11.3333333333333,6.55833333333333
"27",1991,3.61666666666667,10.3166666666667,5.575
"28",1992,3.10833333333333,10.2666666666667,5.525
"29",1993,2.525,9.84166666666667,5.10833333333333
"30",1994,3.19166666666667,10.9416666666667,6.19166666666667
"31",1995,2.1,9.88333333333333,5.14166666666667
"32",1996,1.8,10.0416666666667,5.29166666666667
"33",1997,2.83333333333333,10.75,6.775
"34",1998,4.39166666666667,11.875,8.1
"35",1999,3.375,11.275,7.325
"36",2000,2.68333333333333,10.7333333333333,6.7
"37",2001,2.875,10.6833333333333,6.775
"38",2002,3.43333333333333,11.225,7.34166666666667
"39",2003,2.65,10.6666666666667,6.65833333333333
"40",2004,3.88333333333333,11.8166666666667,7.85
"41",2005,2.54166666666667,11.2833333333333,6.925
"42",2006,1.54166666666667,11.3583333333333,6.46666666666667
"43",2007,2.125,11.4083333333333,6.76666666666667
"44",2008,1.7,11.3333333333333,6.50833333333333
"45",2009,1.95,11.6583333333333,6.81666666666667
"46",2010,2.60833333333333,11.825,7.24166666666667
"47",2011,1.775,10.8583333333333,6.325
"48",2012,1.49166666666667,10.8083333333333,6.16666666666667
"49",2013,1.53333333333333,11.2,6.38333333333333
"50",2014,1.16666666666667,10.7666666666667,5.975
"51",2015,1.99166666666667,11.9083333333333,6.96666666666667
"52",2016,2.875,12.5,7.69166666666667
"53",2017,1.275,10.7583333333333,6.01666666666667
"54",2018,2.375,12.225,7.31666666666667
"55",2019,2.09166666666667,11.9083333333333,7.025
"56",2020,2.625,11.6916666666667,7.16666666666667
"57",2021,2.33333333333333,11.8166666666667,7.08333333333333
"58",2022,1.975,11.5,6.75833333333333
"59",2023,2.79166666666667,12.7083333333333,7.775
"60",2024,3.725,13.1833333333333,8.45833333333333
