"Bunazaka","Kaminokodaira","Matsuotoge","Kagamiishi"
55.2187617342931,43.9987617342931,28.151720321384,20.7396276553241
48.5732015762853,37.3532015762853,22.1902619443476,15.6577287109652
53.7857348096677,42.3176185404126,27.4676185404126,19.7676185404126
53.4596428689381,42.2396428689381,27.1744320628534,20.8373564811771
53.9811924613738,41.6532699138197,26.2948726301759,18.5948726301759
56.2937788186767,45.0737788186767,29.1290085799145,21.4290085799145
51.1470565116352,40.0698555457923,25.2198555457923,17.6123052280263
55.5448536750227,43.6078464308808,26.8812455852943,19.1812455852943
57.9880743213491,44.8980743213491,28.151720321384,21.0328141328832
55.4471248491696,42.8260158240564,26.490330281882,18.790330281882
56.2289554559941,44.7805923411175,28.3471779730901,21.3260006104424
49.745947486522,38.525947486522,22.874363725319,15.6577287109652
58.7699049281735,46.7351688581786,28.9151688581786,21.2282717845893
65.3825596230108,54.1625596230108,38.0223317325426,30.3223317325426
56.3915076445297,45.1715076445297,27.5653473662656,20.4464411777649
54.4698365906391,42.7282869982033,26.7835167594412,19.0835167594412
52.0266159443127,40.5782528294361,25.3175843716454,18.785051138263
53.4925483321085,41.8487275655259,25.4153131974984,17.7153131974984
56.8153284111124,43.7253284111124,27.0767032370004,19.3767032370004
56.782422947942,45.562422947942,30.1062968384451,22.4062968384451
63.069973265708,49.979973265708,32.9404327881837,25.2404327881837
55.3493960233166,43.5101176050278,28.6403644506493,21.0328141328832
62.9722444398549,49.9602201113294,32.1402201113294,23.7745004003879
53.361914043085,42.141914043085,27.2721608887065,20.0555258743527
55.6425825008758,43.4123887791747,27.0767032370004,19.6646105709405
64.4710822908212,51.9147966283906,35.4813822603631,27.7813822603631
60.4312949676755,47.3412949676755,29.7153815350329,22.2055600431199
54.7630230681983,41.6730230681983,25.7268817450874,19.5668817450874
52.4175312477249,41.1646257845545,25.9039573267637,18.2039573267637
69.6178045978627,56.8012379210433,38.9812379210433,30.9087046876609
60.1381084901163,47.7124571167092,29.8924571167092,22.0153815350329
59.2256435942683,48.0056435942683,31.0835850969756,23.3835850969756
59.551735534998,47.2238129874439,31.4745004003879,23.7745004003879
72.1587540700421,59.0687540700421,38.2787540700421,28.0798478815414
68.6405163393321,55.6284920108067,37.8084920108067,29.7359587774242
65.5131939120344,53.2830001903333,35.8722975637754,28.1722975637754
65.7086515637405,52.6186515637405,34.7972804793918,27.0972804793917
68.6405163393321,55.6284920108067,37.8084920108067,29.7359587774242
69.0061935483871,54.0461935483871,36.0256451612903,28.3256451612903
77.6051182795699,62.6451182795699,43.8904516129032,34.9208064516129
74.2803655913979,61.1903655913979,42.5446989247312,34.0323655913979
66.9316021505376,54.9809354838709,37.1609354838709,28.3586021505376
66.6310430107526,55.4110430107526,37.5910430107526,29.0097096774193
66.8473010752689,54.5349677419355,36.7149677419355,27.7404838709678
67.1039892473118,54.0593225806451,36.2393225806452,27.8632258064516
70.124,58.904,41.084,32.345
69.753,56.754,38.934,30.146
67.503,55.954,38.134,30.446
67.874,56.654,38.834,29.594
63.953,52.154,34.334,25.545
69.632,54.672,35.484,27.345
76.382,63.013,43.634,34.394
65.253,53.404,35.584,26.545
74.882,60.513,41.234,32.495
70.253,58.254,40.434,31.194
68.553,56.404,38.584,30.845
67.103,55.104,37.284,28.044
71.732,56.913,38.484,30.496
75.132,60.313,42.195,34.495
