"pn","plot","lb","sp","d01","d02","d03","d04","d05","d06","d07","f01","f02","f03","f04","f05","f06","f07","x","y"
6,"Mimatsu",376,"オオシラビソ",NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,5,NA,45.75,16.46
6,"Mimatsu",42,"オオシラビソ",11.7,12.8,13.3,14,14.7,15.4,NA,99,5,4,4,4,4,4,46.73,19.4
6,"Mimatsu",43,"オオシラビソ",18.4,19.6,20,21,22.4,24,NA,4,5,5,4,4,4,5,45.88,20.46
6,"Mimatsu",377,"オオシラビソ",NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,4,NA,40.18,17.25
6,"Mimatsu",28,"オオシラビソ",39.6,40.4,40.4,40.8,42,41.9,NA,5,4,4,3,4,3,4,39.21,15.98
6,"Mimatsu",340,"オオシラビソ",NA,NA,NA,NA,8.5,9.6,NA,NA,NA,NA,NA,4,4,NA,36.5,15.98
6,"Mimatsu",29,"オオシラビソ",9.3,10.4,10.6,10.7,NA,NA,NA,5,3,3,1,-1,-1,3,36.38,16.06
6,"Mimatsu",30,"オオシラビソ",9.1,9.5,9.9,10,10,10.1,NA,2,2,2,4,3,2,2,34.88,16.69
6,"Mimatsu",378,"オオシラビソ",NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,4,NA,35.63,17.07
6,"Mimatsu",31,"オオシラビソ",10.9,11.9,12.6,13.1,13.3,14.7,NA,5,4,4,4,4,4,4,35.03,17.03
6,"Mimatsu",32,"オオシラビソ",23,24.3,25,26,27.5,29.1,NA,5,3,3,4,4,5,3,34.33,16.13
6,"Mimatsu",33,"オオシラビソ",10.2,11.1,11.5,12.1,12.7,13.6,NA,4,4,3,4,4,4,3,33.85,14.9
6,"Mimatsu",21,"オオシラビソ",39.2,40,40.5,41.5,42,43,NA,5,4,5,5,5,5,5,33.17,7.34
6,"Mimatsu",3,"オオシラビソ",28,29,30,30.6,31.1,32.3,NA,5,5,5,5,5,4,5,32.55,3.88
6,"Mimatsu",4,"オオシラビソ",7.1,7.6,8,8.4,8.8,9.6,NA,4,4,4,4,4,4,4,32.97,2.91
6,"Mimatsu",5,"オオシラビソ",7.9,8.6,8.9,9.2,9.5,10.1,NA,5,5,4,3,4,4,4,32.35,1.85
6,"Mimatsu",6,"オオシラビソ",8.6,9.2,9.6,10,10.3,11,NA,5,5,5,4,4,4,5,32.03,0.02
6,"Mimatsu",20,"オオシラビソ",15.7,16.8,17.2,18.1,19.1,20.5,NA,5,5,4,4,5,4,4,30.54,5.8
6,"Mimatsu",7,"オオシラビソ",54.5,55.6,NA,NA,NA,NA,NA,3,0,-1,-1,-1,-1,-1,27.64,7.24
6,"Mimatsu",8,"オオシラビソ",46.3,NA,NA,NA,NA,NA,NA,0,-1,-1,-1,-1,-1,-1,22.46,6.85
6,"Mimatsu",9,"オオシラビソ",10,11,12,12.8,12.7,12.7,NA,4,5,5,3,3,2,5,22.91,6.25
6,"Mimatsu",10,"オオシラビソ",32,31.5,32,32.4,35.6,NA,NA,0,0,0,0,0,-1,0,22.71,6.84
6,"Mimatsu",11,"オオシラビソ",36.8,36.8,36.6,36.7,37.9,37.7,NA,5,3,3,3,3,3,3,22.54,5.85
6,"Mimatsu",12,"オオシラビソ",18.6,18.9,NA,NA,NA,NA,NA,4,5,-1,-1,-1,-1,-1,21.28,5.08
6,"Mimatsu",19,"オオシラビソ",36.6,36.9,37.7,37.7,37.9,38.5,NA,5,3,3,3,3,3,3,18.51,8.15
6,"Mimatsu",13,"オオシラビソ",8.8,10.1,NA,NA,NA,NA,NA,5,5,-1,-1,-1,-1,-1,15.64,1.62
6,"Mimatsu",379,"オオシラビソ",NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,4,NA,-0.31,0.96
6,"Mimatsu",15,"オオシラビソ",11.9,14.2,16.5,18.5,21.2,25.2,NA,5,5,5,4,5,5,5,-0.91,2.76
6,"Mimatsu",16,"オオシラビソ",9.9,9.4,9.9,10.5,11.2,12.3,NA,5,5,4,5,5,4,4,6.35,13.69
6,"Mimatsu",18,"オオシラビソ",39.7,40.9,41.1,41.7,42.8,43.9,NA,5,4,4,4,4,4,4,14.12,11.52
6,"Mimatsu",37,"オオシラビソ",48.1,48.1,48.4,49.2,49.3,49.8,NA,5,4,4,4,5,4,4,12.39,14.38
6,"Mimatsu",38,"オオシラビソ",36.1,35.9,36.4,36.7,37,36.5,NA,3,3,4,2,0,0,4,15.77,14.46
6,"Mimatsu",40,"オオシラビソ",12.9,13.4,13.7,14.1,14.4,15.4,NA,4,4,4,3,4,4,4,16.7,13.9
6,"Mimatsu",35,"オオシラビソ",20.4,20.7,20.9,21.2,21.8,23.2,NA,4,5,4,4,4,4,4,19.56,11.5
6,"Mimatsu",36,"オオシラビソ",51,51,51,51,51.1,50.5,NA,5,3,3,1,0,0,3,20.14,12.52
6,"Mimatsu",39,"オオシラビソ",16.4,16.9,17.4,17.5,18.4,19.4,NA,3,3,4,3,4,3,4,21.08,15.59
6,"Mimatsu",41,"オオシラビソ",29.6,30.4,31.1,32,32.5,34,NA,5,5,4,4,5,4,4,22.11,15.26
6,"Mimatsu",34,"オオシラビソ",46.8,NA,NA,NA,NA,NA,NA,2,-1,-1,-1,-1,-1,-1,25.01,14.94
6,"Mimatsu",45,"オオシラビソ",16.2,16.9,17.4,18.1,18.9,20.2,NA,4,5,4,3,4,4,4,26.65,20.05
6,"Mimatsu",44,"オオシラビソ",15.2,14.9,14.4,14.4,NA,NA,NA,0,0,0,0,-1,-1,0,27.39,20.22
6,"Mimatsu",61,"オオシラビソ",11.9,12.3,12.7,13.4,14.1,15.4,NA,99,5,5,5,5,3,5,27.52,22.92
6,"Mimatsu",78,"オオシラビソ",27.5,NA,NA,NA,NA,NA,NA,0,-1,-1,-1,-1,-1,-1,26.89,26.99
6,"Mimatsu",79,"オオシラビソ",14.4,15.5,16.4,17.4,18.3,18.7,NA,5,5,5,4,4,1,5,24.23,24.84
6,"Mimatsu",59,"オオシラビソ",15.8,17.1,17.8,18.7,19.7,21.1,NA,5,5,5,4,5,5,5,25.34,22.36
6,"Mimatsu",57,"オオシラビソ",29.2,30.3,31,31.9,32.8,34,NA,3,3,3,3,4,3,3,21.79,22.29
6,"Mimatsu",56,"オオシラビソ",11.6,11.9,12,12.2,12.5,13,NA,2,3,3,4,3,3,3,21.55,22.45
6,"Mimatsu",297,"オオシラビソ",NA,NA,NA,8.5,8.8,9.4,NA,NA,NA,NA,4,4,4,NA,19.27,21.64
6,"Mimatsu",55,"オオシラビソ",10.4,10.8,11.1,11.6,12,12.5,NA,3,4,4,4,4,4,4,18.7,22.88
6,"Mimatsu",54,"オオシラビソ",22,22.7,23.1,23.8,24.3,25.7,NA,4,5,4,4,5,4,4,14.05,21.68
6,"Mimatsu",53,"オオシラビソ",24.1,24.6,24.8,25.6,25.5,26,NA,3,3,3,4,3,3,3,10.82,20.7
6,"Mimatsu",52,"オオシラビソ",21.5,22.3,22.2,22.8,23.1,23.7,NA,4,3,3,3,4,4,3,10.83,19.75
6,"Mimatsu",296,"オオシラビソ",NA,NA,NA,9,8.9,9.3,NA,NA,NA,NA,4,4,4,NA,9.44,18.38
6,"Mimatsu",49,"オオシラビソ",23.2,23.7,24,24.5,25.2,26,NA,3,4,4,4,4,4,4,7.81,16.66
6,"Mimatsu",50,"オオシラビソ",39.7,40.4,41,42,43.2,44.5,NA,5,5,5,4,4,4,5,6.07,18.05
6,"Mimatsu",51,"オオシラビソ",14.1,14.7,15.1,15.8,16.4,17.5,NA,2,3,4,4,4,4,4,3.25,20.29
6,"Mimatsu",83,"オオシラビソ",36,36.3,36.8,37.8,39.1,NA,NA,5,4,4,4,5,-1,4,0.12,23.86
6,"Mimatsu",81,"オオシラビソ",64.4,65.2,64.7,65.5,65.6,65.6,NA,5,5,4,3,3,2,4,3.37,24.68
6,"Mimatsu",82,"オオシラビソ",12.4,12.9,13.2,NA,NA,NA,NA,3,2,1,-1,-1,-1,1,3.85,24.72
6,"Mimatsu",84,"オオシラビソ",29.7,31.3,31.5,32.5,33.7,35,NA,5,5,5,5,5,5,5,4.9,28.79
6,"Mimatsu",85,"オオシラビソ",39.2,39.9,40.6,41.2,41.9,42.7,NA,5,5,4,3,3,3,4,8.91,26.09
6,"Mimatsu",86,"オオシラビソ",33.3,33.6,34.3,34.3,34.2,34.4,NA,5,4,4,3,3,3,4,9.83,26.26
6,"Mimatsu",87,"オオシラビソ",11.5,11.8,12.1,12.2,12.5,NA,NA,4,4,4,3,3,-1,4,12.42,25.67
6,"Mimatsu",80,"オオシラビソ",36.6,37.5,38.1,39.1,39.4,40.9,NA,5,5,5,5,5,5,5,14.69,23.88
6,"Mimatsu",88,"オオシラビソ",31,29.8,28.7,30,NA,NA,NA,0,0,0,0,-1,-1,0,14.79,28.48
6,"Mimatsu",90,"オオシラビソ",12.3,13.1,13.2,13.6,14.2,15,NA,99,5,4,4,4,4,4,20.56,28.31
6,"Mimatsu",106,"オオシラビソ",27.4,28.4,29.4,30.5,30.9,32.1,NA,5,5,4,5,5,5,4,20.38,29.88
6,"Mimatsu",93,"オオシラビソ",12.7,13.2,13.7,14.5,14.9,15.7,NA,4,5,5,5,5,4,5,26.74,30.95
6,"Mimatsu",77,"オオシラビソ",9.1,10.2,11.3,12.2,13.4,15.4,NA,5,5,5,5,5,5,5,29.58,28.64
6,"Mimatsu",75,"オオシラビソ",13.6,14.3,14.7,15.4,16.5,17.8,NA,4,5,4,4,4,4,4,34.3,27.74
6,"Mimatsu",74,"オオシラビソ",9.7,9.8,9.8,9.9,10,10.2,NA,4,4,4,4,3,2,4,34.16,27.14
6,"Mimatsu",385,"オオシラビソ",NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,3,NA,37.98,21.79
6,"Mimatsu",62,"オオシラビソ",34.8,34.9,35.4,35.7,36.1,36.5,NA,5,5,4,5,5,5,4,38.66,22.78
6,"Mimatsu",63,"オオシラビソ",35.7,36.7,37.5,38.2,39.8,39.8,NA,5,4,4,4,4,4,4,38.87,22.99
6,"Mimatsu",64,"オオシラビソ",12.2,12.6,12.9,13.4,13.8,14.3,NA,99,5,5,3,4,4,5,43.24,23.41
6,"Mimatsu",65,"オオシラビソ",20.4,21,22.7,24.2,24.9,26.6,NA,5,5,4,4,5,5,4,43.85,24.99
6,"Mimatsu",298,"オオシラビソ",NA,NA,NA,8.3,8.7,8.8,NA,NA,NA,NA,4,3,2,NA,47.22,23.69
6,"Mimatsu",66,"オオシラビソ",9,9.3,9.2,9.6,9.9,9.9,NA,99,3,3,2,2,2,3,47,25.39
6,"Mimatsu",68,"オオシラビソ",15.4,16.4,17,18.3,19.3,20.9,NA,4,4,5,4,5,5,5,47.65,27.87
6,"Mimatsu",69,"オオシラビソ",17.4,18.3,19,19.8,20.7,22.3,NA,5,5,5,4,5,5,5,47.33,29.03
6,"Mimatsu",96,"オオシラビソ",9.3,9.9,10.7,11.8,12.8,14.7,NA,4,5,5,5,5,5,5,44.11,29.47
6,"Mimatsu",70,"オオシラビソ",13.2,13.2,NA,NA,NA,NA,NA,99,1,-1,-1,-1,-1,-1,43.85,28.37
6,"Mimatsu",71,"オオシラビソ",12.6,13.9,14.5,15.1,16.4,17.9,NA,4,5,4,5,4,3,4,41.5,27.35
6,"Mimatsu",72,"オオシラビソ",8,8.8,9.5,10.6,11.1,11.6,NA,5,5,5,5,3,4,5,40.59,29.76
6,"Mimatsu",73,"オオシラビソ",17.4,18.2,18.8,19.6,20.4,21.4,NA,4,5,5,5,5,5,5,37.94,28.27
6,"Mimatsu",386,"オオシラビソ",NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,4,NA,36.17,31.05
6,"Mimatsu",387,"オオシラビソ",NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,5,NA,37.32,32.42
6,"Mimatsu",94,"オオシラビソ",8.9,9.7,10.1,10.4,10.5,10.9,NA,4,4,4,4,4,4,4,38.75,30.1
6,"Mimatsu",95,"オオシラビソ",10.1,10.5,11,11.4,12.5,13.4,NA,5,5,5,5,5,5,5,41.02,32.65
6,"Mimatsu",98,"オオシラビソ",10.4,11.2,11.9,12.7,13.6,14.1,NA,5,5,5,4,5,4,5,45,32.07
6,"Mimatsu",97,"オオシラビソ",9,9.7,10.2,10.9,11.1,11.8,NA,4,5,4,4,4,4,4,46.99,31.71
6,"Mimatsu",100,"オオシラビソ",10.5,11.4,12,12.8,13.7,15.2,NA,4,5,4,4,5,5,4,42.91,38.47
6,"Mimatsu",101,"オオシラビソ",13,13.4,13.4,14,14.2,14.8,NA,4,5,4,4,4,4,4,42.15,39.05
6,"Mimatsu",343,"オオシラビソ",NA,NA,NA,NA,7.6,8.7,NA,NA,NA,NA,NA,5,5,NA,41.37,39.21
6,"Mimatsu",301,"オオシラビソ",NA,NA,NA,7.5,8.2,9.2,NA,NA,NA,NA,5,5,4,NA,44.54,39.21
6,"Mimatsu",99,"オオシラビソ",12.3,NA,NA,NA,NA,NA,NA,4,-1,-1,-1,-1,-1,-1,45.9,38.92
6,"Mimatsu",122,"オオシラビソ",13.8,14.8,15.9,17.1,18.2,19.7,NA,5,5,4,5,4,4,4,49.16,41.35
6,"Mimatsu",142,"オオシラビソ",17,17.6,18.3,18.8,20,20.8,NA,4,5,5,4,5,4,5,49.16,45.15
6,"Mimatsu",143,"オオシラビソ",17.7,18.2,18.9,19.7,20.5,NA,NA,4,4,5,5,5,-1,5,48.68,46.15
6,"Mimatsu",310,"オオシラビソ",NA,NA,NA,8.8,9.2,9.8,NA,NA,NA,NA,5,4,5,NA,45.25,42.49
6,"Mimatsu",311,"オオシラビソ",NA,NA,NA,7.9,8.3,9.1,NA,NA,NA,NA,4,4,4,NA,44.44,42.91
6,"Mimatsu",123,"オオシラビソ",11.9,12.2,12.5,NA,NA,NA,NA,4,4,4,-1,-1,-1,4,41.69,43.36
6,"Mimatsu",124,"オオシラビソ",16.9,17.3,17.8,18.8,19.5,NA,NA,5,5,5,4,4,-1,5,40.62,43.69
6,"Mimatsu",313,"オオシラビソ",NA,NA,NA,8.8,9.2,9.6,NA,NA,NA,NA,4,4,4,NA,42.32,45.55
6,"Mimatsu",314,"オオシラビソ",NA,NA,NA,8.7,9.3,10.3,NA,NA,NA,NA,5,5,5,NA,41.21,45.57
6,"Mimatsu",312,"オオシラビソ",NA,NA,NA,7.9,8,8.2,NA,NA,NA,NA,4,3,3,NA,39.29,44.87
6,"Mimatsu",126,"オオシラビソ",15.5,16.7,17.6,18.7,19.4,20.9,NA,5,5,5,4,5,5,5,39.04,44.92
6,"Mimatsu",125,"オオシラビソ",11.9,12.4,13.1,13.7,13.8,14.5,NA,3,5,4,4,4,3,4,36.33,41.99
6,"Mimatsu",102,"オオシラビソ",8.3,9.3,10,NA,NA,NA,NA,4,5,5,-1,-1,-1,5,32.83,38.28
6,"Mimatsu",103,"オオシラビソ",14.3,15.7,16.9,18.6,20.3,23,NA,5,5,5,5,5,5,5,28.2,40.61
6,"Mimatsu",104,"オオシラビソ",13,13.6,13.9,14.4,15,15.7,NA,2,3,3,3,4,4,3,27.81,41.72
6,"Mimatsu",105,"オオシラビソ",26.7,26.3,25.9,24.7,24.6,24.5,NA,0,0,0,0,0,0,0,27.83,41.8
6,"Mimatsu",302,"オオシラビソ",NA,NA,NA,9.5,9.8,NA,NA,NA,NA,NA,4,3,-1,NA,26.14,39.3
6,"Mimatsu",309,"オオシラビソ",NA,NA,10.5,11,11.1,11.5,NA,NA,NA,4,4,4,4,4,23.24,39.58
6,"Mimatsu",121,"オオシラビソ",24.6,25.2,25.6,26.4,NA,NA,NA,4,4,3,3,-1,-1,3,22.05,39.72
6,"Mimatsu",120,"オオシラビソ",24,NA,NA,NA,NA,NA,NA,2,-1,-1,-1,-1,-1,-1,21.22,41.07
6,"Mimatsu",119,"オオシラビソ",28.5,NA,NA,NA,NA,NA,NA,5,-1,-1,-1,-1,-1,-1,20.9,39.53
6,"Mimatsu",303,"オオシラビソ",NA,NA,NA,9.4,10.2,11.3,NA,NA,NA,NA,4,5,5,NA,23.84,37.12
6,"Mimatsu",107,"オオシラビソ",24.9,26.2,26.6,27.8,28.8,30.2,NA,5,5,4,5,5,4,4,21.56,34.45
6,"Mimatsu",344,"オオシラビソ",NA,NA,NA,NA,9.5,9.6,NA,NA,NA,NA,NA,4,3,NA,21.19,34.12
6,"Mimatsu",108,"オオシラビソ",31,31.6,31.8,32.3,32.4,32.4,NA,4,5,2,3,2,0,2,20.18,34.73
6,"Mimatsu",109,"オオシラビソ",20.9,21.3,21.6,22.6,23.2,24.2,NA,5,5,4,4,4,4,4,18.66,34.25
6,"Mimatsu",304,"オオシラビソ",NA,NA,NA,8.2,8.6,8.2,NA,NA,NA,NA,4,0,0,NA,18.85,32.37
6,"Mimatsu",305,"オオシラビソ",NA,NA,NA,9.4,9.9,10.5,NA,NA,NA,NA,5,4,4,NA,17.56,32.06
6,"Mimatsu",306,"オオシラビソ",NA,NA,NA,10.3,11,11.7,NA,NA,NA,NA,4,4,4,NA,16.89,33.08
6,"Mimatsu",111,"オオシラビソ",18.7,19.3,19.6,20.5,21.2,22.3,NA,4,5,3,4,4,4,3,15.69,34.76
6,"Mimatsu",112,"オオシラビソ",31.5,32.7,33.4,34.1,34.6,35.5,NA,5,5,5,4,5,4,5,13.04,34.63
6,"Mimatsu",307,"オオシラビソ",NA,NA,NA,8.2,8.4,8.7,NA,NA,NA,NA,4,3,3,NA,14.22,32.77
6,"Mimatsu",308,"オオシラビソ",28.9,29.5,30.4,31,32,33,NA,5,5,5,4,4,4,5,7.13,32.67
6,"Mimatsu",115,"オオシラビソ",25.6,26.4,26.9,27.9,27.9,28.7,NA,5,5,4,4,5,4,4,7.35,32.91
6,"Mimatsu",114,"オオシラビソ",15.5,15.7,16.1,16.1,16.7,16.7,NA,5,3,3,3,4,4,3,8.49,34.47
6,"Mimatsu",113,"オオシラビソ",38.6,39,39.5,40.1,41,40.9,NA,5,5,4,3,4,2,4,12.35,36.16
6,"Mimatsu",118,"オオシラビソ",15.6,16.8,NA,NA,NA,NA,NA,3,4,-1,-1,-1,-1,-1,14.94,38.84
6,"Mimatsu",390,"オオシラビソ",NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,4,NA,17.94,38.17
6,"Mimatsu",345,"オオシラビソ",NA,NA,NA,NA,8.6,9.6,NA,NA,NA,NA,NA,5,5,NA,18.53,39.66
6,"Mimatsu",347,"オオシラビソ",NA,NA,NA,NA,10.2,11,NA,NA,NA,NA,NA,5,3,NA,15.02,41.76
6,"Mimatsu",117,"オオシラビソ",12.1,13.1,13.1,13.4,13.5,13.5,NA,4,5,4,2,2,2,4,10.26,38.62
6,"Mimatsu",131,"オオシラビソ",32.2,33.7,34.3,35.1,36,37.9,NA,5,5,5,5,5,5,5,2.9,43.9
6,"Mimatsu",132,"オオシラビソ",38,38.2,39.3,39.5,40.3,40.8,NA,5,5,5,5,5,4,5,2.52,46.65
6,"Mimatsu",163,"オオシラビソ",20.9,21.3,21.9,22,22.5,23.4,NA,5,5,4,3,4,4,4,6.04,50.6
6,"Mimatsu",162,"オオシラビソ",38.9,39.2,39.6,40,40.3,41.1,NA,5,4,4,3,3,4,4,7.65,50.86
6,"Mimatsu",161,"オオシラビソ",12.4,13.1,13.7,14.2,15,16.2,NA,3,4,3,4,5,4,3,8.23,49.87
6,"Mimatsu",160,"オオシラビソ",20.9,21.7,22.4,22.9,23.5,24.6,NA,4,3,4,4,4,4,4,12.56,51.32
6,"Mimatsu",159,"オオシラビソ",17.5,18,18,18.8,18.6,19,NA,3,4,3,3,3,3,3,12.45,52.17
6,"Mimatsu",158,"オオシラビソ",29.2,30.1,30.8,31.3,31.8,32.7,NA,5,5,4,4,3,4,4,14.56,53.32
6,"Mimatsu",157,"オオシラビソ",11.8,12.6,13.1,13.6,14.1,14.7,NA,4,5,4,4,5,4,4,15.85,52.74
6,"Mimatsu",156,"オオシラビソ",20.8,20.8,20.9,21,21.1,NA,NA,3,4,3,2,2,-1,3,16.16,54.28
6,"Mimatsu",155,"オオシラビソ",9.4,9.8,10.5,10.8,11.7,12.5,NA,5,5,5,4,5,4,5,19.32,54.13
6,"Mimatsu",350,"オオシラビソ",NA,NA,NA,NA,8.3,9.2,NA,NA,NA,NA,NA,5,5,NA,22.43,50.69
6,"Mimatsu",136,"オオシラビソ",22.1,23.2,24.1,24.9,25.4,26.1,NA,5,5,4,3,2,1,4,21.11,51.41
6,"Mimatsu",135,"オオシラビソ",16.4,17.2,17.9,18.7,19,20.3,NA,5,5,5,5,5,4,5,18.51,50.42
6,"Mimatsu",133,"オオシラビソ",41.1,41.3,41.7,41.7,41.6,41.9,NA,5,4,4,3,3,3,4,14.6,47.2
6,"Mimatsu",134,"オオシラビソ",25.7,26.8,27.4,27.7,28.2,29.1,NA,4,4,5,4,4,4,5,14.45,46.35
6,"Mimatsu",391,"オオシラビソ",NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,4,NA,15.19,46.66
6,"Mimatsu",129,"オオシラビソ",11.3,11.9,12.1,12.6,12.9,13.6,NA,5,5,5,5,5,4,5,21.83,43.84
6,"Mimatsu",128,"オオシラビソ",33,34.1,35.2,35.9,37.3,38.2,NA,99,5,5,5,4,4,5,20.8,45.74
6,"Mimatsu",320,"オオシラビソ",NA,NA,NA,9.1,9,9.1,NA,NA,NA,NA,3,3,3,NA,24.79,48.78
6,"Mimatsu",137,"オオシラビソ",8.9,10,10.6,11.3,11.8,NA,NA,5,5,4,4,4,-1,4,24.82,50.73
6,"Mimatsu",138,"オオシラビソ",11.9,12,NA,NA,NA,NA,NA,5,4,-1,-1,-1,-1,-1,25.57,50.4
6,"Mimatsu",139,"オオシラビソ",17.4,18.5,19,19.7,20.4,21.6,NA,5,5,4,5,3,3,4,26.03,49.88
6,"Mimatsu",140,"オオシラビソ",9.4,9.7,9.9,10.5,11.1,11.8,NA,4,4,4,5,4,5,4,27.68,51.45
6,"Mimatsu",319,"オオシラビソ",NA,NA,NA,9,9.4,10.3,NA,NA,NA,NA,4,4,4,NA,27.08,49.42
6,"Mimatsu",321,"オオシラビソ",NA,NA,NA,10,NA,NA,NA,NA,NA,NA,3,-1,-1,NA,26.77,47.33
6,"Mimatsu",322,"オオシラビソ",NA,NA,NA,8.9,9.4,10.2,NA,NA,NA,NA,4,4,4,NA,28.28,46.73
6,"Mimatsu",127,"オオシラビソ",19.9,21.3,22.3,23.2,24.6,NA,NA,5,5,5,4,4,-1,5,27.1,45.13
6,"Mimatsu",141,"オオシラビソ",12.1,12.4,12.7,13.3,13.5,14.5,NA,99,5,4,4,4,4,4,30.43,44.51
6,"Mimatsu",316,"オオシラビソ",NA,NA,NA,7,7.4,8.3,NA,NA,NA,NA,5,5,5,NA,35.05,45.23
6,"Mimatsu",315,"オオシラビソ",NA,NA,NA,10.5,11.3,12.8,NA,NA,NA,NA,5,5,5,NA,35.04,47.77
6,"Mimatsu",150,"オオシラビソ",57,57.4,57.8,57.9,57.8,NA,NA,0,0,0,0,0,-1,0,40.14,56.39
6,"Mimatsu",149,"オオシラビソ",26.2,27.6,28.5,29,30,32.4,NA,5,5,5,4,4,4,5,40.96,54.82
6,"Mimatsu",148,"オオシラビソ",42.1,41.4,41.4,42.1,39.7,40.7,NA,0,0,0,0,0,0,0,44.03,53.76
6,"Mimatsu",147,"オオシラビソ",26,27,27.5,28.4,29,30.3,NA,5,5,4,4,4,4,4,43.86,53.04
6,"Mimatsu",146,"オオシラビソ",32.3,33,33.9,34.6,35.2,36.4,NA,4,4,4,4,3,4,4,45.05,51.39
6,"Mimatsu",145,"オオシラビソ",31,NA,NA,NA,NA,NA,NA,3,-1,-1,-1,-1,-1,-1,45.58,49.7
6,"Mimatsu",144,"オオシラビソ",38.5,NA,NA,NA,NA,NA,NA,3,-1,-1,-1,-1,-1,-1,46.83,50.02
6,"Mimatsu",180,"オオシラビソ",8.4,8.4,8.8,9.2,9.4,10,NA,3,4,3,3,3,3,3,47.92,51.65
6,"Mimatsu",179,"オオシラビソ",14.8,15.5,15.7,15.9,16.3,17.2,NA,5,5,3,4,3,2,3,48.68,51.46
6,"Mimatsu",178,"オオシラビソ",12,13.3,13.6,14.3,14.7,15.8,NA,3,4,4,4,4,5,4,49.34,51.4
6,"Mimatsu",183,"オオシラビソ",12.9,13.6,14,14.5,NA,NA,NA,4,4,4,2,-1,-1,4,47.78,53.63
6,"Mimatsu",182,"オオシラビソ",13.2,NA,NA,NA,NA,NA,NA,3,-1,-1,-1,-1,-1,-1,49.38,54.76
6,"Mimatsu",181,"オオシラビソ",19.2,19.8,20.3,20.5,20.4,20.7,NA,4,3,4,4,3,4,4,49.95,54.07
6,"Mimatsu",184,"オオシラビソ",28.4,28.6,28.7,28.6,28.8,NA,NA,3,3,2,2,0,-1,2,48.89,56.48
6,"Mimatsu",185,"オオシラビソ",34.5,35.1,35.4,35.9,36.4,37,NA,99,4,4,4,3,3,4,47.87,62.69
6,"Mimatsu",186,"オオシラビソ",39.8,39.8,NA,NA,NA,NA,NA,0,0,-1,-1,-1,-1,-1,47.56,62.88
6,"Mimatsu",187,"オオシラビソ",43,43.3,44.5,45,45.5,46.3,NA,99,3,3,3,3,3,3,45.26,62.85
6,"Mimatsu",177,"オオシラビソ",15.4,16.2,16.7,17.3,18.1,19,NA,99,4,4,3,4,4,4,41.61,59.89
6,"Mimatsu",176,"オオシラビソ",27.4,28.3,29.1,29.6,30.4,31.3,NA,99,4,4,3,3,4,4,40.61,61.24
6,"Mimatsu",151,"オオシラビソ",49.7,50.5,51.3,50.8,51.3,51.5,NA,3,2,2,3,2,3,2,33.14,57.36
6,"Mimatsu",153,"オオシラビソ",32.1,32.6,33.1,33.5,33.7,34.8,NA,5,4,5,4,4,4,5,28.11,55.82
6,"Mimatsu",152,"オオシラビソ",44.3,44.4,44.2,NA,NA,NA,NA,5,0,0,-1,-1,-1,0,28.49,57.14
6,"Mimatsu",173,"オオシラビソ",26.4,26.8,27.2,27.3,27.4,27.5,NA,99,5,4,2,2,2,4,24.42,61
6,"Mimatsu",154,"オオシラビソ",48.5,48.3,48.3,49,49.7,50.5,NA,4,4,3,3,2,2,3,24.3,57.89
6,"Mimatsu",172,"オオシラビソ",29.3,30.2,30.7,31.5,32.2,33.5,NA,99,5,4,4,3,4,4,16.36,56.98
6,"Mimatsu",170,"オオシラビソ",32.9,33.8,34.5,35.1,36,37.3,NA,99,5,5,4,4,4,5,12.5,58.1
6,"Mimatsu",171,"オオシラビソ",38.9,39.1,39.5,39.5,39.7,39.7,NA,99,4,3,2,0,0,3,11.82,59.27
6,"Mimatsu",325,"オオシラビソ",10.5,10.6,10.7,10.8,11.2,11.4,NA,99,4,3,4,3,3,3,11.73,59.63
6,"Mimatsu",237,"オオシラビソ",6.7,7.2,7.4,7.5,7.8,8.3,NA,99,4,4,4,3,3,4,5.85,59.49
6,"Mimatsu",169,"オオシラビソ",23.7,24.6,25.2,25.5,26.8,27.6,NA,99,5,5,5,4,4,5,4.11,59.17
6,"Mimatsu",168,"オオシラビソ",18.9,20,20.5,20.9,21.4,22.4,NA,99,4,4,4,4,4,4,3.09,58.02
6,"Mimatsu",166,"オオシラビソ",11.2,11.5,11.6,11.8,12.1,12.4,NA,99,4,3,3,3,3,3,2.78,57.52
6,"Mimatsu",165,"オオシラビソ",10.4,10.9,11.2,11.4,11.7,12.1,NA,99,4,3,4,4,4,3,2.86,56.89
6,"Mimatsu",164,"オオシラビソ",12,12.7,13.2,13.2,13.7,14.4,NA,99,3,3,4,4,4,3,0.13,54.36
